이름,Period,Summary,Tech Stack
GoWIX,2021.03–,웹 기반 의료 영상 저장 전송 시스템,"ASP.NET, Azure, C#, Docker, Firebase, MariaDB, MySQL, ODBC, WPF"
GoStitching,2019.06–2023.05,의료 영상 정합 소프트웨어 / 클라우드 앱 서비스,"ASP.NET, Azure, C#, C++, MFC"
GoEndo,2019.01–2020.09,내시경 동영상 촬영 및 편집 소프트웨어,"C#, C++, OpenCV, WPF"
GoDR / FusionDR,2018.05–2021.10,X-Ray 영상 촬영 및 편집 소프트웨어 / X-Ray 영상 장비 통합 연동 모듈,"Access, C#, C++, SQLite, WPF"
2D LiDAR 장애물 감지,2017.08–2018.04,2차원 라이다를 사용한 장애물 감지,"C++, Qt"
3D LiDAR Point Cloud Visualization,2016.08–2017.07,3차원 라이다 데이터 시각화,"C++, Linux, OpenGL, Qt"
"Collaborative
Positioning
Enhancement",2014.03–2015.02,위치 정보 공유를 통한 정확도 향상,"C++, MATLAB"
Smartphone-based Pedestrian Dead Reconing,2011.03–2014.02,스마트폰 사용자의 실내 위치 추정,"C++, MATLAB"
Attract-Mode,2022.06–2022.08,에뮬레이터 런처 프론트엔트 레이아웃 스크립트 커스터마이즈,Squirrel
Art of Hassan,2020.11–2021.03,"LD플레이어, 녹스 앱플레이어 등의 안드로이드 에뮬레이터에서 Art of War 게임의 자동 사냥을 가능하게 하는 윈도우 매크로 어플리케이션 개발","C#, WPF"